canonical_name,domain,careers_url,ats_type,ats_identifier/base_url,sponsorship_confidence,sponsorship_recent_year,evidence_summary,evidence_url(s),role_fit_tags,caveats,sector,fy2025_q4_certified_records,fy2025_q4_softwareish_records,fy2025_q4_change_employer_positions,matched_legal_employers
Stripe,stripe.com,https://stripe.com/careers/search,custom,https://stripe.com/careers/search,high,FY2025-Q4,DOL OFLC FY2025 Q4: 58 certified/certified-withdrawn LCA records matched to named legal employer(s); 38 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=17.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Many IC roles are calibrated senior; accept only explicit 3–5 YOE or equivalent scope.,Banking & Payments,58,38,17,"Stripe, Inc. (58)"
Fiserv,fiserv.com,https://careers.fiserv.com/us/en,phenom,https://careers.fiserv.com/us/en,high,FY2025-Q4,DOL OFLC FY2025 Q4: 94 certified/certified-withdrawn LCA records matched to named legal employer(s); 91 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=33.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Large catalog includes implementation/client roles; enforce software IC filters.,Banking & Payments,94,91,33,"Fiserv Solutions, LLC (94)"
Fidelity Investments,fidelity.com,https://jobs.fidelity.com/en/jobs/,custom,https://jobs.fidelity.com/en/jobs/,high,FY2025-Q4,DOL OFLC FY2025 Q4: 516 certified/certified-withdrawn LCA records matched to named legal employer(s); 474 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=108.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. The regex intentionally includes only legal entities using the Fidelity Investments DBA.,Banking & Payments,516,474,108,"Fidelity Technology Group, LLC d/b/a Fidelity Investments (452); FMR LLC d/b/a Fidelity Investments (16); Fidelity Brokerage Services LLC d/b/a Fidelity Investments (12); National Charitable Services LLC d/b/a Fidelity Investments (10); Fidelity Workplace Investing LLC d/b/a Fidelity Investments (7); National Financial Services LLC d/b/a Fidelity Investments (6); Fidelity Investments Institutional Operations Company d/b/a Fidelity Investments (5); Fidelity Management & Research Company LLC d/b/a Fidelity Investments (3); Fidelity Digital Asset Services LLC d/b/a Fidelity Investments (2); Fidelity Distributors Company LLC d/b/a Fidelity Investments (1); Strategic Advisers LLC d/b/a Fidelity Investments (1); Fidelity Service Company, Inc. d/b/a Fidelity Investments (1)"
Charles Schwab,schwab.com,https://www.schwabjobs.com/search-jobs,phenom,https://www.schwabjobs.com/search-jobs,high,FY2025-Q4,DOL OFLC FY2025 Q4: 124 certified/certified-withdrawn LCA records matched to named legal employer(s); 118 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=22.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Technology jobs are concentrated in a few hubs; verify location.,Banking & Payments,124,118,22,"Charles Schwab & Company, Inc. (124)"
State Street,statestreet.com,https://statestreet.wd1.myworkdayjobs.com/Global,workday,statestreet:wd1:Global,high,FY2025-Q4,DOL OFLC FY2025 Q4: 98 certified/certified-withdrawn LCA records matched to named legal employer(s); 67 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=11.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Many roles are financial operations; strict technology-title filtering required.,Banking & Payments,98,67,11,State Street Bank and Trust Company (98)
Coinbase,coinbase.com,https://www.coinbase.com/careers/positions,greenhouse,coinbase,high,FY2025-Q4,DOL OFLC FY2025 Q4: 29 certified/certified-withdrawn LCA records matched to named legal employer(s); 23 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=17.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Crypto hiring is cyclical and many openings are senior; verify current posting and level.,Banking & Payments,29,23,17,"Coinbase, Inc. (29)"
Progressive,progressive.com,https://careers.progressive.com/search/jobs,custom,https://careers.progressive.com/search/jobs,medium,FY2025-Q4,DOL OFLC FY2025 Q4: 18 certified/certified-withdrawn LCA records matched to named legal employer(s); 14 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=1.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Transfer evidence is thinner than top tech sponsors; confirm support on each requisition.,Insurance,18,14,1,Progressive Casualty Insurance Company (18)
Liberty Mutual,libertymutualgroup.com,https://searchjobs.libertymutualgroup.com/careers,eightfold,searchjobs.libertymutualgroup.com,high,FY2025-Q4,DOL OFLC FY2025 Q4: 34 certified/certified-withdrawn LCA records matched to named legal employer(s); 21 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=5.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Prefer Liberty Mutual Technology Group roles; sponsorship varies by unit.,Insurance,34,21,5,"Liberty Mutual Technology Group Inc. (22); Liberty Mutual Group Inc. (9); Liberty Mutual Group Asset Management, Inc. (2); Liberty Mutual Insurance Company (1)"
Travelers,travelers.com,https://careers.travelers.com/job-search-results/,workday,travelers:wd5:External,medium,FY2025-Q4,DOL OFLC FY2025 Q4: 17 certified/certified-withdrawn LCA records matched to named legal employer(s); 15 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=3.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Current volume is moderate; verify transfer support with recruiting.,Insurance,17,15,3,The Travelers Indemnity Company (17)
Nationwide,nationwide.com,https://nationwide.wd1.myworkdayjobs.com/Nationwide_Career,workday,nationwide:wd1:Nationwide_Career,medium,FY2025-Q4,DOL OFLC FY2025 Q4: 16 certified/certified-withdrawn LCA records matched to named legal employer(s); 13 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=0.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. FY2025-Q4 sample shows sponsorship but no change-employer positions; treat transfer as unconfirmed.,Insurance,16,13,0,Nationwide Insurance (16)
Northwestern Mutual,northwesternmutual.com,https://careers.northwesternmutual.com/,custom,https://careers.northwesternmutual.com/,medium-high,FY2025-Q4,DOL OFLC FY2025 Q4: 34 certified/certified-withdrawn LCA records matched to named legal employer(s); 32 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=2.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Exclude advisor/sales roles; target enterprise engineering organization only.,Insurance,34,32,2,Northwestern Mutual Life Insurance Company (34)
State Farm,statefarm.com,https://jobs.statefarm.com/main/jobs,custom,https://jobs.statefarm.com/main/jobs,medium,FY2025-Q4,DOL OFLC FY2025 Q4: 16 certified/certified-withdrawn LCA records matched to named legal employer(s); 16 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=0.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. FY2025-Q4 sample shows sponsorship but no change-employer positions; treat transfer as unconfirmed.,Insurance,16,16,0,State Farm Mutual Automobile Insurance Company (16)
UnitedHealth Group / Optum,unitedhealthgroup.com,https://careers.unitedhealthgroup.com/job-search-results/,phenom,https://careers.unitedhealthgroup.com/job-search-results/,high,FY2025-Q4,DOL OFLC FY2025 Q4: 150 certified/certified-withdrawn LCA records matched to named legal employer(s); 136 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=12.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Many listings are clinical/operations; retain Optum technology roles only.,Healthcare Technology,150,136,12,"Optum Services, Inc.  (142); Optum Care, Inc. (6); Optum Medical Group II (Rhodes), P.C. (2)"
CVS Health / Aetna,cvshealth.com,https://jobs.cvshealth.com/us/en/search-results,phenom,https://jobs.cvshealth.com/us/en/search-results,high,FY2025-Q4,DOL OFLC FY2025 Q4: 266 certified/certified-withdrawn LCA records matched to named legal employer(s); 230 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=68.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Broad healthcare catalog; strict technology-title and description filters are essential.,Healthcare Technology,266,230,68,CVS Pharmacy Inc. (113); Aetna Resources LLC (74); CVS Shared Services Resources LLC (65); CVS Rx Services Inc. (10); Aetna Medicaid Administrators LLC (4)
The Cigna Group / Evernorth,thecignagroup.com,https://jobs.thecignagroup.com/us/en/search-results,phenom,https://jobs.thecignagroup.com/us/en/search-results,high,FY2025-Q4,DOL OFLC FY2025 Q4: 108 certified/certified-withdrawn LCA records matched to named legal employer(s); 93 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=5.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Prefer Evernorth/Cigna technology roles; exclude clinical and sales openings.,Healthcare Technology,108,93,5,Cigna-Evernorth Services Inc. (101); Cigna Health and Life Insurance Company (7)
Humana,humana.com,https://humana.wd5.myworkdayjobs.com/Humana_External_Career_Site,workday,humana:wd5:Humana_External_Career_Site,high,FY2025-Q4,DOL OFLC FY2025 Q4: 78 certified/certified-withdrawn LCA records matched to named legal employer(s); 68 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=17.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Many jobs are clinical; filter to digital health/platform engineering.,Healthcare Technology,78,68,17,Humana Inc. (78)
Elevance Health,elevancehealth.com,https://careers.elevancehealth.com/,workday,elevancehealth:wd1:ANT,medium-high,FY2025-Q4,DOL OFLC FY2025 Q4: 113 certified/certified-withdrawn LCA records matched to named legal employer(s); 94 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=0.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. No change-employer positions in the quarter sample; sponsorship is current but transfer support is unconfirmed.,Healthcare Technology,113,94,0,"Elevance Health, Inc. (113)"
Centene,centene.com,https://jobs.centene.com/us/en/jobs/,custom,https://jobs.centene.com/us/en/jobs/,high,FY2025-Q4,DOL OFLC FY2025 Q4: 38 certified/certified-withdrawn LCA records matched to named legal employer(s); 35 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=4.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Large nonengineering catalog; retain digital/platform/security roles only.,Healthcare Technology,38,35,4,"Centene Management Company, LLC (35); Centene Management Company LLC (2); Centene Management Company, LLC. (1)"
Medtronic,medtronic.com,https://medtronic.wd1.myworkdayjobs.com/MedtronicCareers,workday,medtronic:wd1:MedtronicCareers,high,FY2025-Q4,DOL OFLC FY2025 Q4: 57 certified/certified-withdrawn LCA records matched to named legal employer(s); 46 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=10.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;platform;security;SRE;cloud;distributed-systems,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Many software jobs are embedded/medical-device roles; target cloud/platform backend subset.,Healthcare Technology,57,46,10,"Medtronic, Inc. (42); Medtronic, Inc.  (15)"
Intuitive Surgical,intuitive.com,https://careers.intuitive.com/en/jobs/,smartrecruiters,Intuitive,high,FY2025-Q4,DOL OFLC FY2025 Q4: 62 certified/certified-withdrawn LCA records matched to named legal employer(s); 47 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=14.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;platform;security;SRE;cloud;distributed-systems,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Robotics/embedded roles dominate; backend infrastructure is a smaller subset.,Healthcare Technology,62,47,14,"Intuitive Surgical Operations, Inc. (58); Intuitive Surgical, Inc. (4)"
Illumina,illumina.com,https://illumina.wd1.myworkdayjobs.com/illumina-careers,workday,illumina:wd1:illumina-careers,high,FY2025-Q4,DOL OFLC FY2025 Q4: 26 certified/certified-withdrawn LCA records matched to named legal employer(s); 20 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=4.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;platform;security;SRE;cloud;distributed-systems,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Life-sciences domain roles may require specialized experience; rank platform work higher.,Healthcare Technology,26,20,4,"Illumina, Inc. (26)"
Veeva Systems,veeva.com,https://careers.veeva.com/job-search-results/,custom,https://careers.veeva.com/job-search-results/,medium-high,FY2025-Q4,DOL OFLC FY2025 Q4: 33 certified/certified-withdrawn LCA records matched to named legal employer(s); 29 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=0.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;AWS,"Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Current sponsorship activity is clear, but the quarter sample has no change-employer positions.",Healthcare Technology,33,29,0,Veeva Systems Inc. (33)
Verizon,verizon.com,https://mycareer.verizon.com/jobs/,custom,https://mycareer.verizon.com/jobs/,high,FY2025-Q4,DOL OFLC FY2025 Q4: 82 certified/certified-withdrawn LCA records matched to named legal employer(s); 76 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=4.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;network-security;SRE;Java;AWS,"Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Large nonsoftware catalog; retain network software, cloud platform, and security roles.",Telecom,82,76,4,Verizon Data Services LLC (67); Verizon Corporate Resources Group LLC (11);  VERIZON BUSINESS NETWORK SERVICES LLC (3); Verizon Services Corp. (1)
AT&T,att.com,https://www.att.jobs/search-jobs,phenom,https://www.att.jobs/search-jobs,high,FY2025-Q4,DOL OFLC FY2025 Q4: 125 certified/certified-withdrawn LCA records matched to named legal employer(s); 109 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=46.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;network-security;SRE;Java;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Many roles are field/retail; technology-title filtering is mandatory.,Telecom,125,109,46,"AT&T SERVICES, INC. (123); AT&T MOBILITY SERVICES, LLC (2)"
T-Mobile,t-mobile.com,https://careers.t-mobile.com/jobs,custom,https://careers.t-mobile.com/jobs,high,FY2025-Q4,DOL OFLC FY2025 Q4: 128 certified/certified-withdrawn LCA records matched to named legal employer(s); 108 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=39.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;network-security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Sponsorship and work location vary by team; check posting language.,Telecom,128,108,39,"T-Mobile USA, Inc. (128)"
Comcast,comcast.com,https://jobs.comcast.com/search-jobs,phenom,https://jobs.comcast.com/search-jobs,high,FY2025-Q4,DOL OFLC FY2025 Q4: 159 certified/certified-withdrawn LCA records matched to named legal employer(s); 151 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=8.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;network-security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Filter out customer operations and field jobs; platform engineering is strong fit.,Telecom,159,151,8,"Comcast Cable Communications, LLC (159)"
Charter Communications / Spectrum,spectrum.com,https://jobs.spectrum.com/search-jobs,phenom,https://jobs.spectrum.com/search-jobs,high,FY2025-Q4,DOL OFLC FY2025 Q4: 189 certified/certified-withdrawn LCA records matched to named legal employer(s); 169 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=4.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;network-security;SRE;Java;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Exact employer regex excludes schools and Standard Chartered false positives.,Telecom,189,169,4,"Charter Communications, Inc. (122); Charter Communications Inc.  (65); Charter Communications Inc. (1); Charter Communications, Inc (1)"
Nokia,nokia.com,https://jobs.nokia.com/en/sites/CX_1,oracle,jobs.nokia.com:CX_1,high,FY2025-Q4,DOL OFLC FY2025 Q4: 37 certified/certified-withdrawn LCA records matched to named legal employer(s); 37 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=10.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;network-security;SRE;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Telecom protocol expertise may be required; cloud platform/security roles fit best.,Telecom,37,37,10,Nokia of America Corporation (37)
NVIDIA,nvidia.com,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite,workday,nvidia:wd5:NVIDIAExternalCareerSite,high,FY2025-Q4,DOL OFLC FY2025 Q4: 470 certified/certified-withdrawn LCA records matched to named legal employer(s); 436 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=2058.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,distributed-systems;platform;security;SRE;cloud;systems,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Many jobs are GPU/ML/C++; retain cloud infrastructure and backend services within level.,Semiconductors & Hardware,470,436,2058,NVIDIA Corporation (470)
Intel,intel.com,https://jobs.intel.com/en/search-jobs,phenom,https://jobs.intel.com/en/search-jobs,high,FY2025-Q4,DOL OFLC FY2025 Q4: 282 certified/certified-withdrawn LCA records matched to named legal employer(s); 276 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=6.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,distributed-systems;platform;security;SRE;cloud;systems,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Embedded/silicon roles dominate; apply strict backend/platform filters.,Semiconductors & Hardware,282,276,6,Intel Corporation  (282)
AMD,amd.com,https://careers.amd.com/careers-home/jobs,custom,https://careers.amd.com/careers-home/jobs,high,FY2025-Q4,DOL OFLC FY2025 Q4: 125 certified/certified-withdrawn LCA records matched to named legal employer(s); 123 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=51.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,distributed-systems;platform;security;SRE;cloud;systems,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Avoid Amdocs and other substring false positives; legal employer is exact.,Semiconductors & Hardware,125,123,51,"Advanced Micro Devices, Inc. (125)"
Cisco,cisco.com,https://careers.cisco.com/global/en,custom,https://careers.cisco.com/global/en,high,FY2025-Q4,DOL OFLC FY2025 Q4: 196 certified/certified-withdrawn LCA records matched to named legal employer(s); 178 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=380.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;network-security;SRE;Java;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Prioritize cloud/security/platform software over hardware-specialist roles.,Semiconductors & Hardware,196,178,380,"Cisco Systems, Inc. (196)"
Broadcom,broadcom.com,https://broadcom.wd1.myworkdayjobs.com/External_Career,workday,broadcom:wd1:External_Career,high,FY2025-Q4,DOL OFLC FY2025 Q4: 22 certified/certified-withdrawn LCA records matched to named legal employer(s); 22 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=13.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,distributed-systems;platform;security;SRE;cloud;systems,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. VMware-related roles may appear under separate legal entities not counted here.,Semiconductors & Hardware,22,22,13,Broadcom Corporation (22)
Marvell,marvell.com,https://marvell.wd1.myworkdayjobs.com/MarvellCareers,workday,marvell:wd1:MarvellCareers,high,FY2025-Q4,DOL OFLC FY2025 Q4: 49 certified/certified-withdrawn LCA records matched to named legal employer(s); 47 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=16.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,distributed-systems;platform;security;SRE;cloud;systems,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Most jobs are silicon/firmware; backend infrastructure is a narrower subset.,Semiconductors & Hardware,49,47,16,"Marvell Semiconductor, Inc.  (27); Marvell Semiconductor, Inc. (22)"
Micron Technology,micron.com,https://careers.micron.com/careers,eightfold,careers.micron.com,high,FY2025-Q4,DOL OFLC FY2025 Q4: 91 certified/certified-withdrawn LCA records matched to named legal employer(s); 81 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=20.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,distributed-systems;platform;security;SRE;cloud;systems,"Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Manufacturing/firmware jobs dominate; target IT platform, cloud, and security.",Semiconductors & Hardware,91,81,20,"Micron Technology, Inc. (81); Micron Idaho Semiconductor Manufacturing (Triton) LLC (6); Micron Semiconductor Products, Inc. (4)"
Applied Materials,appliedmaterials.com,https://amat.wd1.myworkdayjobs.com/External,workday,amat:wd1:External,high,FY2025-Q4,DOL OFLC FY2025 Q4: 53 certified/certified-withdrawn LCA records matched to named legal employer(s); 45 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=15.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,distributed-systems;platform;security;SRE;cloud;systems,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Many jobs require semiconductor process expertise; software platform roles are subset.,Semiconductors & Hardware,53,45,15,"Applied Materials, Inc (36); Applied Materials, Inc. (17)"
